ID	State FIP	County FIP 	Median Home Value	Median Home Value Margin of Error	Median Gross Rent	Median Gross Rent Margin of Error	Total Housing Units	Total Margin of Error	Total Occupied Housing Units	Occupied Margin of Error (percent)	Total Vacant Housing Units	Vacant Margin of Error (percent)	Latitude	Longitude
0	01	001	207200	7252	1263	86	25039	34	22917	435	2122	440	+32.5322367	-086.6464395
1	01	003	316900	7217	1277	56	132258	70	98574	1224	33684	1222	+30.6592183	-087.7460666
2	01	005	112900	12192	688	50	11762	56	9128	308	2634	304	+31.8702531	-085.4051035
3	01	007	145700	13226	733	67	9133	98	7704	283	1429	275	+33.0158929	-087.1271475
4	01	009	175200	7515	776	37	24918	39	22180	426	2738	436	+33.9773575	-086.5664400
5	01	011	81700	17694	556	145	4579	39	3688	239	891	228	+32.1017589	-085.7172613
6	01	013	99800	7938	725	47	9885	49	7597	311	2288	313	+31.7516670	-086.6819689
7	01	015	156600	5832	826	31	53361	67	45015	664	8346	662	+33.7705162	-085.8279089
8	01	017	135800	16978	871	51	16435	28	13434	411	3001	409	+32.9155039	-085.3940321
9	01	019	179700	15464	762	63	14702	44	10192	402	4510	393	+34.0695153	-085.6542417
10	01	021	161300	10065	871	46	19839	36	17875	347	1964	345	+32.8540514	-086.7266071
11	01	023	123400	19120	543	120	7200	20	5255	267	1945	265	+31.9909539	-088.2488894
12	01	025	121700	8732	782	85	11749	26	8423	423	3326	421	+31.6855211	-087.8186244
13	01	027	156700	17782	619	145	7106	23	5820	286	1286	288	+33.2703999	-085.8635254
14	01	029	165600	13424	798	49	6874	21	5980	217	894	216	+33.6719637	-085.5161261
15	01	031	188600	7326	1018	52	24656	55	20984	409	3672	418	+31.4022580	-085.9896022
16	01	033	171000	6321	887	58	28040	44	24301	431	3739	432	+34.7031120	-087.8014569
17	01	035	105300	10972	834	37	6444	26	4417	276	2027	274	+31.4309257	-086.9887221
18	01	037	115500	15070	665	120	6058	21	4418	210	1640	210	+32.9314453	-086.2434818
19	01	039	152100	9043	746	29	18714	40	14642	411	4072	407	+31.2439873	-086.4487206
20	01	041	114000	15677	661	80	6583	29	5233	190	1350	189	+31.7303106	-086.3200384
21	01	043	199100	9727	908	52	39871	53	35347	449	4524	458	+34.1319229	-086.8692666
22	01	045	143500	11393	889	35	22968	61	19727	413	3241	412	+31.4306536	-085.6094760
23	01	047	94600	5382	733	33	18936	26	15947	416	2989	415	+32.3335263	-087.1143600
24	01	049	152700	5889	693	25	30963	79	26181	470	4782	457	+34.4609148	-085.8040207
25	01	051	223900	7157	1071	42	37323	90	32856	541	4467	528	+32.5972290	-086.1427347
26	01	053	136500	10527	766	23	16816	40	12808	467	4008	466	+31.1222867	-087.1684097
