GEOID	STATEFP	COUNTYFP	NAME	NAMELSAD	ALAND	AWATER	INTPTLAT	INTPTLON
31039	31	039	Cuming	Cuming County	1477563042	10772508	+41.9158651	-096.7885168
53069	53	069	Wahkiakum	Wahkiakum County	680980773	61564428	+46.2946377	-123.4244583
35011	35	011	De Baca	De Baca County	6016818941	29090018	+34.3592729	-104.3686961
31109	31	109	Lancaster	Lancaster County	2169269508	22850511	+40.7835474	-096.6886584
31129	31	129	Nuckolls	Nuckolls County	1489645201	1718484	+40.1764918	-098.0468422
72085	72	085	Las Piedras	Las Piedras Municipio	87748419	32509	+18.1871483	-065.8711890
46099	46	099	Minnehaha	Minnehaha County	2089725024	18165219	+43.6674723	-096.7957261
48327	48	327	Menard	Menard County	2336237980	613559	+30.8852677	-099.8588613
06091	06	091	Sierra	Sierra County	2468694578	23299110	+39.5769252	-120.5219926
21053	21	053	Clinton	Clinton County	510391739	21636754	+36.7272577	-085.1360977
39063	39	063	Hancock	Hancock County	1376122055	6024245	+41.0002170	-083.6659471
48189	48	189	Hale	Hale County	2602109424	246678	+34.0684364	-101.8228879
01027	01	027	Clay	Clay County	1564255426	5281616	+33.2703999	-085.8635254
48011	48	011	Armstrong	Armstrong County	2354617584	12183672	+34.9641790	-101.3566363
39003	39	003	Allen	Allen County	1042587391	11152061	+40.7716274	-084.1061032
13189	13	189	McDuffie	McDuffie County	666608438	23095606	+33.4806102	-082.4795718
55111	55	111	Sauk	Sauk County	2153800051	45578927	+43.4280010	-089.9433184
05137	05	137	Stone	Stone County	1570673289	8145444	+35.8570011	-092.1404819
41063	41	063	Wallowa	Wallowa County	8147835329	14191752	+45.5937530	-117.1855796
42007	42	007	Beaver	Beaver County	1125854807	24162293	+40.6841401	-080.3507209
28061	28	061	Jasper	Jasper County	1751636189	3130850	+32.0167482	-089.1191761
29083	29	083	Henry	Henry County	1805056177	91656115	+38.3864909	-093.7926278
08109	08	109	Saguache	Saguache County	8206547700	4454510	+38.0316514	-106.2346662
37037	37	037	Chatham	Chatham County	1765030860	70580568	+35.7049939	-079.2514542
49033	49	033	Rich	Rich County	2664471792	149106409	+41.6275976	-111.2402269
40001	40	001	Adair	Adair County	1486345558	8864933	+35.8980428	-094.6510258
39085	39	085	Lake	Lake County	594129618	1942308103	+41.7781416	-081.1973297
51775	51	775	Salem	Salem city	37597966	275156	+37.2853329	-080.0552407
51121	51	121	Montgomery	Montgomery County	1001932837	6278532	+37.1755376	-080.3877942
47065	47	065	Hamilton	Hamilton County	1404197538	86784458	+35.1634720	-085.2018432
35035	35	035	Otero	Otero County	17126455958	36944199	+32.6155988	-105.7513079
35003	35	003	Catron	Catron County	17933561654	14193499	+33.9016208	-108.3919284
01091	01	091	Marengo	Marengo County	2530155124	14951685	+32.2475911	-087.7910910
56023	56	023	Lincoln	Lincoln County	10555073817	49947329	+42.2299932	-110.6829614
29011	29	011	Barton	Barton County	1533351028	12152201	+37.5007989	-094.3440893
